"id","map_type_id","model_id/id","field_id/id","in_value","out_value"
"map_gfmis_report_97","GFMIS Report","account.model_account_account","account.field_account_account_code",1101080009,"1101030112 - บัญชีเงินฝากกระแส/ออมทรัพย์ - INTERFACE"
"map_gfmis_report_98","GFMIS Report","account.model_account_account","account.field_account_account_code",1101080010,"1101030112 - บัญชีเงินฝากกระแส/ออมทรัพย์ - INTERFACE"
"map_gfmis_report_99","GFMIS Report","account.model_account_account","account.field_account_account_code",1101080011,"1101030112 - บัญชีเงินฝากกระแส/ออมทรัพย์ - INTERFACE"
"map_gfmis_report_100","GFMIS Report","account.model_account_account","account.field_account_account_code",1101080012,"1101030112 - บัญชีเงินฝากกระแส/ออมทรัพย์ - INTERFACE"
"map_gfmis_report_101","GFMIS Report","account.model_account_account","account.field_account_account_code",1101080013,"1101030112 - บัญชีเงินฝากกระแส/ออมทรัพย์ - INTERFACE"
"map_gfmis_report_102","GFMIS Report","account.model_account_account","account.field_account_account_code",1101080014,"1101030112 - บัญชีเงินฝากกระแส/ออมทรัพย์ - INTERFACE"
"map_gfmis_report_103","GFMIS Report","account.model_account_account","account.field_account_account_code",1101080015,"1101030112 - บัญชีเงินฝากกระแส/ออมทรัพย์ - INTERFACE"
"map_gfmis_report_104","GFMIS Report","account.model_account_account","account.field_account_account_code",1101080016,"1101030112 - บัญชีเงินฝากกระแส/ออมทรัพย์ - INTERFACE"
"map_gfmis_report_105","GFMIS Report","account.model_account_account","account.field_account_account_code",1101080017,"1101030112 - บัญชีเงินฝากกระแส/ออมทรัพย์ - INTERFACE"
"map_gfmis_report_106","GFMIS Report","account.model_account_account","account.field_account_account_code",1101080018,"1101030112 - บัญชีเงินฝากกระแส/ออมทรัพย์ - INTERFACE"
"map_gfmis_report_107","GFMIS Report","account.model_account_account","account.field_account_account_code",1101080019,"1101030112 - บัญชีเงินฝากกระแส/ออมทรัพย์ - INTERFACE"
"map_gfmis_report_108","GFMIS Report","account.model_account_account","account.field_account_account_code",1101080020,"1101030112 - บัญชีเงินฝากกระแส/ออมทรัพย์ - INTERFACE"
"map_gfmis_report_109","GFMIS Report","account.model_account_account","account.field_account_account_code",1101080021,"1101030112 - บัญชีเงินฝากกระแส/ออมทรัพย์ - INTERFACE"
"map_gfmis_report_110","GFMIS Report","account.model_account_account","account.field_account_account_code",1101080022,"1101030112 - บัญชีเงินฝากกระแส/ออมทรัพย์ - INTERFACE"
"map_gfmis_report_111","GFMIS Report","account.model_account_account","account.field_account_account_code",1101080023,"1101030112 - บัญชีเงินฝากกระแส/ออมทรัพย์ - INTERFACE"
"map_gfmis_report_112","GFMIS Report","account.model_account_account","account.field_account_account_code",1101080024,"1101030112 - บัญชีเงินฝากกระแส/ออมทรัพย์ - INTERFACE"
"map_gfmis_report_113","GFMIS Report","account.model_account_account","account.field_account_account_code",1101080025,"1101030112 - บัญชีเงินฝากกระแส/ออมทรัพย์ - INTERFACE"
"map_gfmis_report_114","GFMIS Report","account.model_account_account","account.field_account_account_code",1101080026,"1101030112 - บัญชีเงินฝากกระแส/ออมทรัพย์ - INTERFACE"
"map_gfmis_report_115","GFMIS Report","account.model_account_account","account.field_account_account_code",1101080027,"1101030112 - บัญชีเงินฝากกระแส/ออมทรัพย์ - INTERFACE"
"map_gfmis_report_116","GFMIS Report","account.model_account_account","account.field_account_account_code",1101080028,"1101030112 - บัญชีเงินฝากกระแส/ออมทรัพย์ - INTERFACE"
"map_gfmis_report_117","GFMIS Report","account.model_account_account","account.field_account_account_code",1101080029,"1101030112 - บัญชีเงินฝากกระแส/ออมทรัพย์ - INTERFACE"
"map_gfmis_report_118","GFMIS Report","account.model_account_account","account.field_account_account_code",1101090001,"1101030112 - บัญชีเงินฝากกระแส/ออมทรัพย์ - INTERFACE"
